나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),병동경력(일),최종임상경력(일),최종병동경력(일)_참고만,최종임상경력(월),최종임상경력(월)_소수점 반올림,최종임상경력(년),년차_2
52,2,1,2,3,2,2,2,1,4.18,4.13,4.2,4.25,0,0,3250,1490,3250,1490,108,108,9,4
31,2,2,5,2,1,2,2,1,3.94,3.88,4,4,0,0,3680,1490,3680,1490,123,123,11,4
28,2,2,1,2,2,1,2,1,3.65,3.5,3.6,4,0,0,2735,910,2735,910,91,91,8,4
28,2,2,5,2,2,1,3,5,3.18,3.38,3,3,0,0,3315,1490,3315,1490,111,111,10,4
28,2,2,5,2,1,2,3,1,4.06,4.13,4.2,3.75,1,1,1490,1125,715,350,24,24,2,2
50,2,1,2,1,1,2,3,1,4.18,4.25,4.2,4,1,1,4045,545,3846,346,128,128,11,4
29,2,2,1,1,2,1,3,1,4.65,5,4.4,4.25,0,0,3315,1125,3315,1125,111,111,10,4
30,2,1,1,1,2,2,2,1,3.24,3.13,3.4,3.25,0,0,4345,2065,4345,2065,145,145,13,4
23,2,2,2,2,1,1,3,1,3.76,4,3.8,3.25,1,1,1155,395,1093,333,36,36,3,2
27,2,2,5,2,1,1,2,1,3.06,3.13,3,3,1,1,1060,395,632,-33,21,21,2,2
29,2,2,5,2,2,2,2,1,3.76,3.63,4.6,3,1,1,2005,545,1746,286,58,58,6,3
30,2,2,4,2,1,1,2,1,3.53,3.63,3.6,3.25,1,1,3315,1490,2598,773,87,87,8,4
27,2,2,3,1,2,2,2,1,4,4,4,4,1,1,1550,1185,853,488,28,28,3,2
28,2,2,1,2,1,1,2,1,3.82,3.63,4.4,3.5,0,0,2980,1305,2980,1305,99,99,9,4
32,2,2,1,2,2,1,2,1,3.53,3.13,4,3.75,0,0,3710,1305,3710,1305,124,124,11,4
30,2,2,1,1,2,1,2,1,3.12,3.13,3,3.25,1,1,4345,515,4162,332,139,139,12,4
28,2,2,1,1,2,2,1,1,4.82,5,4.8,4.5,0,0,2035,1520,2035,1520,68,68,7,3
43,2,1,3,2,1,1,3,1,3.35,3.5,3.2,3.25,0,0,4345,2370,4345,2370,145,145,13,4
26,2,2,2,1,2,2,2,3,3.82,3.75,4.2,3.5,0,0,2005,1125,2005,1125,67,67,7,3
26,2,2,5,1,1,2,2,1,3.65,3.75,3.6,3.5,0,0,1275,1275,1275,1275,43,43,4,3
25,2,2,5,2,2,2,2,5,4.53,4.63,4.4,4.5,0,0,1490,1125,1490,1125,50,50,6,3
26,2,2,5,2,1,2,3,1,4.12,4.38,3.8,4,0,0,1550,1550,1550,1550,52,52,6,3
57,2,1,1,1,1,1,2,1,3.65,3.75,3.6,3.5,1,1,4135,665,3807,337,127,127,11,4
29,2,2,5,1,1,1,3,2,3.47,3.13,4.2,3.25,0,0,3345,1275,3345,1275,112,112,10,4
34,2,1,1,1,1,2,2,3,4.35,4.25,4.6,4.25,1,1,3315,910,2745,340,92,92,8,4
31,2,1,5,1,1,1,3,1,2.94,3.13,3,2.5,1,1,2950,485,2735,270,91,91,8,4
38,2,1,3,1,1,1,3,1,4.12,4.25,4,4,1,1,4345,395,4311,361,144,144,12,4
29,2,2,5,1,1,2,4,1,3.47,3.5,3.6,3.25,0,0,3830,2005,3830,2005,128,128,11,4
26,2,2,5,2,1,1,3,3,4.29,4.25,4.4,4.25,0,0,2220,1915,2220,1915,74,74,7,4
32,2,2,1,2,2,2,3,1,3.76,3.63,3.8,4,0,0,4255,2280,4255,2280,142,142,12,4
28,2,2,2,2,1,1,3,1,4.35,4.38,4.4,4.25,0,0,2615,1125,2615,1125,87,87,8,4
26,2,2,5,1,2,1,3,1,3.53,3.5,3.6,3.5,0,0,2585,850,2585,850,86,86,8,4
27,2,2,5,1,1,2,2,1,3.29,3,4.2,2.75,0,0,2980,2340,2980,2340,99,99,9,4
25,2,2,5,2,1,1,2,1,3.76,3.5,4,4,0,0,395,395,395,395,13,13,2,2
33,2,1,1,3,1,2,2,1,4.35,4.5,4,4.5,0,0,4045,940,4045,940,135,135,12,4
32,2,1,1,2,2,1,2,1,3.88,3.88,4,3.75,0,0,1640,2220,1640,2220,55,55,6,3
26,2,2,5,2,1,2,2,1,3.94,3.63,4.2,4.25,1,1,1855,545,1291,-19,43,43,4,3
28,2,2,1,1,1,1,3,5,3.29,3.25,2.8,4,0,0,2855,1760,2855,1760,95,95,8,4
24,2,2,5,2,2,2,2,1,3.94,3.88,4.2,3.75,0,0,1245,1125,1245,1125,42,42,4,3
30,2,1,1,1,2,1,3,1,3.76,3.5,4.2,3.75,0,0,2585,1885,2585,1885,86,86,8,4
27,2,2,3,1,2,1,3,1,3.71,3.75,3.8,3.5,1,1,1855,515,1230,-110,41,41,4,3
24,2,2,5,2,2,1,2,5,3.82,3.88,3.6,4,0,0,1215,1215,1215,1215,41,41,4,3
26,2,2,2,2,1,1,3,1,3.82,3.5,4.4,3.75,1,1,1975,1185,1603,813,53,53,6,3
48,2,1,5,2,2,2,1,1,4.12,4.13,4.4,3.75,1,1,4345,455,4268,378,142,142,12,4
28,2,2,5,2,2,1,2,1,3.76,3.88,4,3.25,1,1,850,760,75,-15,3,3,1,1
38,2,1,5,1,1,1,2,1,3.24,3.13,3.4,3.25,0,0,2950,1365,2950,1365,98,98,9,4
29,2,2,5,1,2,1,3,1,3.94,4,4.4,3.25,0,0,2795,850,2795,850,93,93,8,4
31,2,1,5,2,2,1,1,1,4.06,4.13,4.2,3.75,0,0,3315,760,3315,760,111,111,10,4
24,2,2,1,2,1,1,2,1,4.47,4.88,4.4,3.75,0,0,1945,1855,1945,1855,65,65,7,3
33,2,2,5,1,1,2,3,4,3.35,3.25,3.6,3.25,1,1,2980,545,2601,166,87,87,8,4
31,2,2,1,2,1,2,3,1,3,3.13,3,2.75,1,1,4045,485,3877,317,129,129,11,4
26,2,2,5,1,2,1,2,1,3.82,3.88,3.8,3.75,0,0,2950,2370,2950,2370,98,98,9,4
32,2,2,5,2,1,1,3,5,3.65,3.63,3.8,3.5,0,0,4045,760,4045,760,135,135,12,4
27,2,2,1,2,1,1,2,1,3.47,3.38,3.8,3.25,1,1,2400,1335,2020,955,67,67,7,3
32,2,1,1,2,1,2,2,5,3.82,3.75,4.2,3.5,0,0,3315,1490,3315,1490,111,111,10,4
29,2,2,5,2,1,1,2,3,3.18,3.25,3,3.25,0,0,2950,2220,2950,2220,98,98,9,4
26,2,2,5,2,1,2,3,1,3.88,3.75,4.2,3.75,0,0,1790,425,1790,425,60,60,6,3
26,2,2,2,2,1,1,3,5,4,4.25,3.8,3.75,1,1,1610,1610,986,986,33,33,3,2
36,2,1,5,1,2,1,2,1,3.18,3,3.6,3,0,0,4345,4345,4345,4345,145,145,13,4
32,2,1,5,1,2,1,3,1,3,3,3.2,2.75,0,0,3800,3800,3800,3800,127,127,11,4
28,2,2,5,2,1,2,2,4,4.24,4.5,4,4,0,0,1490,1155,1490,1155,50,50,6,3
31,2,2,5,1,1,1,3,1,3.53,3.25,4,3.5,0,0,4045,790,4045,790,135,135,12,4
26,2,2,1,1,1,2,1,5,4.12,4.25,4.2,3.75,1,1,2585,850,2042,307,68,68,7,3
31,2,1,2,1,1,1,2,5,4.29,4.13,4.2,4.75,1,1,3465,575,3105,215,104,104,9,4
26,2,2,5,2,1,1,2,1,4.24,4.5,4.2,3.75,1,1,2340,425,1890,-25,63,63,7,3
24,2,2,5,2,2,1,3,1,3.82,3.75,3.8,4,1,1,1245,635,773,163,26,26,3,2
35,2,2,5,1,1,2,2,1,4.24,4,4.8,4,0,0,3615,1275,3615,1275,121,121,11,4
35,2,2,5,2,1,1,3,1,3.94,3.88,4,4,1,1,3315,545,2873,103,96,96,8,4
34,2,1,5,1,1,1,3,1,3.76,4,3.4,3.75,0,0,4045,3315,4045,3315,135,135,12,4
