나이,성별,결혼,종교_최종,학위_최종,부서,이직계획유무,건강상태_최종,근무지역_최종,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),최종임상경력(일),최종임상경력(월),최종임상경력(년),병동경력(일),년차_최종,연차별시작문항응답,연차별최종문항응답
36,1,1,1,2,2,2,1,1,3.94,3.63,4.2,4.25,0,0,4345,4345,145,13,4345,3,13,13
28,2,1,2,1,2,1,2,2,3.06,2.88,3.2,3.25,0,0,4045,4045,135,12,1520,3,123,123
30,2,2,2,2,1,1,2,1,4.18,4.13,4.2,4.25,0,0,3710,3710,124,11,910,3,13,13
27,2,1,2,2,1,2,1,1,4,4,4,4,1,1,1185,1016,34,3,1185,1,123,123
30,2,2,2,1,1,1,1,2,4,4.13,4,3.75,1,1,4045,3497,117,10,760,3,13,13
32,2,1,2,1,1,2,1,1,4,4.13,4,3.75,0,0,4045,4045,135,12,665,3,13,13
25,2,1,2,2,2,2,1,1,3.59,3.13,4.2,3.75,0,0,1945,1945,65,7,1855,2,13,13
27,2,2,2,1,1,2,2,2,4.12,4.5,3.8,3.75,0,0,2855,2855,95,8,2855,3,123,123
26,2,2,1,2,2,2,1,1,3.41,3.75,3.2,3,0,0,2795,2795,93,8,1245,3,123,123
27,2,1,1,2,1,2,2,2,3.06,3.13,3,3,0,0,2950,2950,98,9,1490,3,13,13
26,2,2,1,2,2,1,2,1,3.71,3.25,4.4,3.75,1,1,2220,1619,54,6,395,2,13,13
36,2,2,1,2,2,1,1,2,3.76,3.63,4,3.75,1,1,1520,754,25,3,790,1,13,13
32,2,2,2,2,2,1,2,1,3.35,3.63,3.4,2.75,1,1,3100,2444,81,7,880,3,123,123
34,2,1,2,1,2,2,1,1,3.71,3.75,3.4,4,0,0,4345,4345,145,13,1915,3,13,13
27,2,2,1,2,2,1,2,2,4.53,4.75,4.2,4.5,0,0,2765,2765,92,8,2585,3,123,123
28,2,2,1,2,2,1,1,1,3.12,3.38,3.2,2.5,0,0,3345,3345,112,10,880,3,13,13
32,2,1,2,1,1,2,2,2,3.59,3.75,3.6,3.25,0,0,3980,3980,133,12,910,3,13,13
27,2,2,2,2,1,2,2,1,3.35,3.13,4.2,2.75,0,0,2615,2615,87,8,1155,3,13,13
27,2,2,2,2,1,1,2,1,3.88,3.63,4.2,4,0,0,1275,1275,43,4,1275,2,13,13
